Latitude,Longitude,Station,Departement,Region,Annee,Supercifie_Topographique
46.223834032,1.919143788,CREUSE à GLENIC,Creuse,Nouvelle-Aquitaine,1900-01-01,
46.812246044,0.494696596,ENVIGNE À CHATELLERAULT-THURE,Vienne,Nouvelle-Aquitaine,1900-01-01,
46.700410458,0.697474061,OZON DE CHENEVELLES à ARCHIGNY,Vienne,Nouvelle-Aquitaine,1900-01-01,
46.569117814,0.303142701,BOIVRE à POITIERS,Vienne,Nouvelle-Aquitaine,1900-01-01,
46.46173933,0.080662839,VONNE à JAZENEUIL,Vienne,Nouvelle-Aquitaine,1900-01-01,
46.323543163,0.271612527,CLAIN à ANCHE,Vienne,Nouvelle-Aquitaine,1900-01-01,
46.509008593,0.633225375,VIENNE à VALDIVIENNE,Vienne,Nouvelle-Aquitaine,1900-01-01,
46.346064308,0.719154278,PETITE BLOURDE À PERSAC,Vienne,Nouvelle-Aquitaine,1900-01-01,
45.987791211,1.867252643,TAURION à SAINT-HILAIRE-LE-CHATEAU,Creuse,Nouvelle-Aquitaine,1900-01-01,
45.800472067,2.033113997,TAURION à GENTIOUX-PIGEROLLES,Creuse,Nouvelle-Aquitaine,1900-01-01,
45.848661795,1.804512537,MAULDE à SAINT-MARTIN-CHATEAU,Creuse,Nouvelle-Aquitaine,1900-01-01,
45.785016575,1.552953651,COMBADE À SAINT-DENIS-DES-MURS,Haute-Vienne,Nouvelle-Aquitaine,1900-01-01,
45.638742612,1.720754234,COMBADE à DOMPS,Haute-Vienne,Nouvelle-Aquitaine,1900-01-01,
45.693659901,2.076371745,VIENNE à SAINT-SETIERS,Corrèze,Nouvelle-Aquitaine,1900-01-01,
47.282009815,0.388119778,INDRE à LIGNIERES-DE-TOURAINE,Indre-et-Loire,Centre-Val de Loire,1900-01-01,
47.060000839,1.088063635,INDRE à SAINT-HIPPOLYTE,Indre-et-Loire,Centre-Val de Loire,1900-01-01,
47.333914879,0.341117546,ROUMER à LANGEAIS,Indre-et-Loire,Centre-Val de Loire,1900-01-01,
47.348252198,0.544313823,CHER à SAVONNIERES,Indre-et-Loire,Centre-Val de Loire,1900-01-01,
47.270938154,1.375204534,CHER à SAINT-AIGNAN,Loir-et-Cher,Centre-Val de Loire,1900-01-01,
47.007783046,1.457455628,NAHON à SELLES-SUR-NAHON,Indre,Centre-Val de Loire,1900-01-01,
47.219413897,1.677519608,RENON à PARPECAY,Indre,Centre-Val de Loire,1900-01-01,
47.320602517,1.670795439,SAULDRE à PRUNIERS-EN-SOLOGNE,Loir-et-Cher,Centre-Val de Loire,1900-01-01,
47.432623475,2.067352369,SAULDRE à SALBRIS,Loir-et-Cher,Centre-Val de Loire,1900-01-01,
47.446698079,2.304762639,PETITE SAULDRE À MENETREOL-SUR-SAULDRE,Cher,Centre-Val de Loire,1900-01-01,
47.162027747,2.028936994,ARNON à MEREAU,Cher,Centre-Val de Loire,1900-01-01,
47.0392313,2.434565719,AURON à BOURGES,Cher,Centre-Val de Loire,1900-01-01,
47.167868637,2.15121017,CHER À FOECY,Cher,Centre-Val de Loire,1900-01-01,
46.767898278,2.428888885,CHER à BRUERE-ALLICHAMPS,Cher,Centre-Val de Loire,1900-01-01,
46.529268506,2.674064824,AUMANCE à HERISSON,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.420785099,2.823195236,OEIL à VILLEFRANCHE-D'ALLIER,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.491960594,2.825315177,AUMANCE à COSNE-D'ALLIER,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.535098738,2.614615504,CHER à VALLON-EN-SULLY,Allier,Auvergne-Rhône-Alpes,1900-01-01,
45.880563173,2.362423283,TARDES à SAINT-ORADOUX-PRES-CROCQ,Creuse,Nouvelle-Aquitaine,1900-01-01,
46.144206309,2.566288286,CHER à CHAMBONCHARD,Creuse,Nouvelle-Aquitaine,1900-01-01,
47.344482393,0.479752567,LOIRE à VILLANDRY,Indre-et-Loire,Centre-Val de Loire,1900-01-01,
47.673979127,1.525573461,LOIRE à MUIDES-SUR-LOIRE,Loir-et-Cher,Centre-Val de Loire,1900-01-01,
47.816779591,1.783722053,ARDOUX à CLERY-SAINT-ANDRE,Loiret,Centre-Val de Loire,1900-01-01,
47.812892122,2.0486187,DHUY à SANDILLON,Loiret,Centre-Val de Loire,1900-01-01,
47.761051944,2.322399252,BEC D'ABLE à SULLY-SUR-LOIRE,Loiret,Centre-Val de Loire,1900-01-01,
47.563263744,2.635762779,NOTREURE à CERNOY-EN-BERRY,Loiret,Centre-Val de Loire,1900-01-01,
47.3558736,2.99675436,NOHAIN à SAINT-MARTIN-SUR-NOHAIN,Nièvre,Bourgogne-Franche-Comté,1900-01-01,
47.338334227,2.867899215,LOIRE À SAINT-SATUR,Cher,Centre-Val de Loire,1900-01-01,
47.013294395,3.072637369,LOIRE à FOURCHAMBAULT,Nièvre,Bourgogne-Franche-Comté,1900-01-01,
46.815318608,3.045261237,ALLIER à LANGERON,Nièvre,Bourgogne-Franche-Comté,1900-01-01,
46.699175648,3.00460675,BIEUDRE ou RAU DE GOUTAT à POUZY-MESANGY,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.536002961,3.211251384,QUEUNE à SOUVIGNY,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.40302477,3.319177387,ALLIER à CHATEL-DE-NEUVRE,Allier,Auvergne-Rhône-Alpes,1900-01-01,
